Input file name: Data_20000_plains_0 , Key Location is: 61
Input file name: Data_20000_plains_1 , Key Location is: 53
Input file name: Data_20000_plains_10, Key Location is: 1
Input file name: Data_20000_plains_11, Key Location is: 39
Input file name: Data_20000_plains_12, Key Location is: 64
Input file name: Data_20000_plains_13, Key Location is: 24
Input file name: Data_20000_plains_14, Key Location is: 44
Input file name: Data_20000_plains_15, Key Location is: 37
Input file name: Data_20000_plains_16, Key Location is: 54
Input file name: Data_20000_plains_17, Key Location is: 17
Input file name: Data_20000_plains_18, Key Location is: 56
Input file name: Data_20000_plains_19, Key Location is: 1
Input file name: Data_20000_plains_2 , Key Location is: 39
Input file name: Data_20000_plains_20, Key Location is: 41
Input file name: Data_20000_plains_21, Key Location is: 32
Input file name: Data_20000_plains_22, Key Location is: 40
Input file name: Data_20000_plains_23, Key Location is: 19
Input file name: Data_20000_plains_24, Key Location is: 29
Input file name: Data_20000_plains_25, Key Location is: 40
Input file name: Data_20000_plains_26, Key Location is: 32
Input file name: Data_20000_plains_27, Key Location is: 51
Input file name: Data_20000_plains_28, Key Location is: 46
Input file name: Data_20000_plains_29, Key Location is: 39
Input file name: Data_20000_plains_3 , Key Location is: 49
Input file name: Data_20000_plains_30, Key Location is: 36
Input file name: Data_20000_plains_31, Key Location is: 64
Input file name: Data_20000_plains_32, Key Location is: 26
Input file name: Data_20000_plains_33, Key Location is: 44
Input file name: Data_20000_plains_34, Key Location is: 46
Input file name: Data_20000_plains_35, Key Location is: 28
Input file name: Data_20000_plains_36, Key Location is: 47
Input file name: Data_20000_plains_37, Key Location is: 3
Input file name: Data_20000_plains_38, Key Location is: 9
Input file name: Data_20000_plains_39, Key Location is: 38
Input file name: Data_20000_plains_4 , Key Location is: 43
Input file name: Data_20000_plains_40, Key Location is: 62
Input file name: Data_20000_plains_41, Key Location is: 63
Input file name: Data_20000_plains_42, Key Location is: 6
Input file name: Data_20000_plains_43, Key Location is: 29
Input file name: Data_20000_plains_44, Key Location is: 17
Input file name: Data_20000_plains_45, Key Location is: 42
Input file name: Data_20000_plains_46, Key Location is: 51
Input file name: Data_20000_plains_47, Key Location is: 58
Input file name: Data_20000_plains_48, Key Location is: 27
Input file name: Data_20000_plains_49, Key Location is: 29
Input file name: Data_20000_plains_5 , Key Location is: 56
Input file name: Data_20000_plains_50, Key Location is: 46
Input file name: Data_20000_plains_51, Key Location is: 30
Input file name: Data_20000_plains_52, Key Location is: 9
Input file name: Data_20000_plains_53, Key Location is: 37
Input file name: Data_20000_plains_54, Key Location is: 46
Input file name: Data_20000_plains_55, Key Location is: 40
Input file name: Data_20000_plains_56, Key Location is: 39
Input file name: Data_20000_plains_57, Key Location is: 46
Input file name: Data_20000_plains_58, Key Location is: 63
Input file name: Data_20000_plains_59, Key Location is: 30
Input file name: Data_20000_plains_6 , Key Location is: 60
Input file name: Data_20000_plains_60, Key Location is: 23
Input file name: Data_20000_plains_61, Key Location is: 35
Input file name: Data_20000_plains_62, Key Location is: 9
Input file name: Data_20000_plains_63, Key Location is: 59
Input file name: Data_20000_plains_64, Key Location is: 64
Input file name: Data_20000_plains_65, Key Location is: 26
Input file name: Data_20000_plains_66, Key Location is: 38
Input file name: Data_20000_plains_67, Key Location is: 38
Input file name: Data_20000_plains_68, Key Location is: 31
Input file name: Data_20000_plains_69, Key Location is: 62
Input file name: Data_20000_plains_7 , Key Location is: 38
Input file name: Data_20000_plains_70, Key Location is: 10
Input file name: Data_20000_plains_71, Key Location is: 44
Input file name: Data_20000_plains_72, Key Location is: 55
Input file name: Data_20000_plains_73, Key Location is: 13
Input file name: Data_20000_plains_74, Key Location is: 36
Input file name: Data_20000_plains_75, Key Location is: 20
Input file name: Data_20000_plains_76, Key Location is: 25
Input file name: Data_20000_plains_77, Key Location is: 26
Input file name: Data_20000_plains_78, Key Location is: 22
Input file name: Data_20000_plains_79, Key Location is: 34
Input file name: Data_20000_plains_8 , Key Location is: 16
Input file name: Data_20000_plains_80, Key Location is: 56
Input file name: Data_20000_plains_81, Key Location is: 28
Input file name: Data_20000_plains_82, Key Location is: 60
Input file name: Data_20000_plains_83, Key Location is: 45
Input file name: Data_20000_plains_84, Key Location is: 62
Input file name: Data_20000_plains_85, Key Location is: 58
Input file name: Data_20000_plains_86, Key Location is: 26
Input file name: Data_20000_plains_87, Key Location is: 21
Input file name: Data_20000_plains_88, Key Location is: 3
Input file name: Data_20000_plains_89, Key Location is: 25
Input file name: Data_20000_plains_9 , Key Location is: 22
Input file name: Data_20000_plains_90, Key Location is: 27
Input file name: Data_20000_plains_91, Key Location is: 34
Input file name: Data_20000_plains_92, Key Location is: 45
Input file name: Data_20000_plains_93, Key Location is: 18
Input file name: Data_20000_plains_94, Key Location is: 23
Input file name: Data_20000_plains_95, Key Location is: 29
Input file name: Data_20000_plains_96, Key Location is: 53
Input file name: Data_20000_plains_97, Key Location is: 62
Input file name: Data_20000_plains_98, Key Location is: 44
Input file name: Data_20000_plains_99, Key Location is: 58

Average Location is 37.01, out of 100 samples
--- Finished in 0.0seconds ---
