
Input file name: 0, Key Location is: 13
Input file name: 1, Key Location is: 3
Input file name: 10, Key Location is: 15
Input file name: 11, Key Location is: 47
Input file name: 12, Key Location is: 15
Input file name: 13, Key Location is: 43
Input file name: 14, Key Location is: 14
Input file name: 15, Key Location is: 2
Input file name: 16, Key Location is: 30
Input file name: 17, Key Location is: 9
Input file name: 18, Key Location is: 2
Input file name: 19, Key Location is: 9
Input file name: 2, Key Location is: 59
Input file name: 20, Key Location is: 6
Input file name: 21, Key Location is: 1
Input file name: 22, Key Location is: 47
Input file name: 23, Key Location is: 33
Input file name: 24, Key Location is: 52
Input file name: 25, Key Location is: 56
Input file name: 26, Key Location is: 32
Input file name: 27, Key Location is: 38
Input file name: 28, Key Location is: 28
Input file name: 29, Key Location is: 40
Input file name: 3, Key Location is: 28
Input file name: 30, Key Location is: 2
Input file name: 31, Key Location is: 36
Input file name: 32, Key Location is: 12
Input file name: 33, Key Location is: 16
Input file name: 34, Key Location is: 9
Input file name: 35, Key Location is: 15
Input file name: 36, Key Location is: 2
Input file name: 37, Key Location is: 42
Input file name: 38, Key Location is: 19
Input file name: 39, Key Location is: 14
Input file name: 4, Key Location is: 36
Input file name: 40, Key Location is: 5
Input file name: 41, Key Location is: 5
Input file name: 42, Key Location is: 19
Input file name: 43, Key Location is: 21
Input file name: 44, Key Location is: 34
Input file name: 45, Key Location is: 22
Input file name: 46, Key Location is: 42
Input file name: 47, Key Location is: 27
Input file name: 48, Key Location is: 50
Input file name: 49, Key Location is: 50
Input file name: 5, Key Location is: 2
Input file name: 50, Key Location is: 49
Input file name: 51, Key Location is: 1
Input file name: 52, Key Location is: 2
Input file name: 53, Key Location is: 24
Input file name: 54, Key Location is: 1
Input file name: 55, Key Location is: 40
Input file name: 56, Key Location is: 24
Input file name: 57, Key Location is: 31
Input file name: 58, Key Location is: 10
Input file name: 59, Key Location is: 58
Input file name: 6, Key Location is: 43
Input file name: 60, Key Location is: 21
Input file name: 61, Key Location is: 9
Input file name: 62, Key Location is: 6
Input file name: 63, Key Location is: 23
Input file name: 64, Key Location is: 45
Input file name: 65, Key Location is: 20
Input file name: 66, Key Location is: 27
Input file name: 67, Key Location is: 48
Input file name: 68, Key Location is: 43
Input file name: 69, Key Location is: 3
Input file name: 7, Key Location is: 48
Input file name: 70, Key Location is: 1
Input file name: 71, Key Location is: 28
Input file name: 72, Key Location is: 12
Input file name: 73, Key Location is: 63
Input file name: 74, Key Location is: 29
Input file name: 75, Key Location is: 29
Input file name: 76, Key Location is: 42
Input file name: 77, Key Location is: 49
Input file name: 78, Key Location is: 35
Input file name: 79, Key Location is: 26
Input file name: 8, Key Location is: 56
Input file name: 80, Key Location is: 1
Input file name: 81, Key Location is: 15
Input file name: 82, Key Location is: 33
Input file name: 83, Key Location is: 13
Input file name: 84, Key Location is: 32
Input file name: 85, Key Location is: 5
Input file name: 86, Key Location is: 11
Input file name: 87, Key Location is: 6
Input file name: 88, Key Location is: 1
Input file name: 89, Key Location is: 18
Input file name: 9, Key Location is: 37
Input file name: 90, Key Location is: 61
Input file name: 91, Key Location is: 1
Input file name: 92, Key Location is: 16
Input file name: 93, Key Location is: 49
Input file name: 94, Key Location is: 12
Input file name: 95, Key Location is: 29
Input file name: 96, Key Location is: 2
Input file name: 97, Key Location is: 29
Input file name: 98, Key Location is: 36
Input file name: 99, Key Location is: 4

Average Location is 24.59, out of 100 samples
--- Finished in 0.0seconds ---
