
Input file name: 10, Key Location is: 177
Input file name: 11, Key Location is: 249
Input file name: 12, Key Location is: 189
Input file name: 13, Key Location is: 129
Input file name: 14, Key Location is: 97
Input file name: 15, Key Location is: 225
Input file name: 16, Key Location is: 133
Input file name: 17, Key Location is: 137
Input file name: 18, Key Location is: 213
Input file name: 19, Key Location is: 149
Input file name: 20, Key Location is: 81
Input file name: 21, Key Location is: 193
Input file name: 22, Key Location is: 137
Input file name: 23, Key Location is: 241
Input file name: 24, Key Location is: 33
Input file name: 3, Key Location is: 117
Input file name: 4, Key Location is: 25
Input file name: 5, Key Location is: 229
Input file name: 6, Key Location is: 85
Input file name: 7, Key Location is: 49
Input file name: 8, Key Location is: 85
Input file name: 9, Key Location is: 161

Average Location is 142.45454545454547, out of 22 samples
--- Finished in 0.0seconds ---
