Input file name:Data_2000_plains_0.txt, Key Location is: 29
Input file name:Data_2000_plains_1.txt, Key Location is: 19
Input file name:Data_2000_plains_10.txt, Key Location is: 11
Input file name:Data_2000_plains_11.txt, Key Location is: 63
Input file name:Data_2000_plains_12.txt, Key Location is: 41
Input file name:Data_2000_plains_13.txt, Key Location is: 51
Input file name:Data_2000_plains_14.txt, Key Location is: 32
Input file name:Data_2000_plains_15.txt, Key Location is: 1
Input file name:Data_2000_plains_16.txt, Key Location is: 11
Input file name:Data_2000_plains_17.txt, Key Location is: 50
Input file name:Data_2000_plains_18.txt, Key Location is: 6
Input file name:Data_2000_plains_19.txt, Key Location is: 29
Input file name:Data_2000_plains_2.txt, Key Location is: 15
Input file name:Data_2000_plains_3.txt, Key Location is: 39
Input file name:Data_2000_plains_4.txt, Key Location is: 27
Input file name:Data_2000_plains_5.txt, Key Location is: 33
Input file name:Data_2000_plains_6.txt, Key Location is: 18
Input file name:Data_2000_plains_7.txt, Key Location is: 31
Input file name:Data_2000_plains_8.txt, Key Location is: 39
Input file name:Data_2000_plains_9.txt, Key Location is: 5
