Rounds: 6.
Attack Algorithm 2 Few Levels
Iteration number: 1. Location is: 59905
Iteration number: 2. Location is: 49921
Iteration number: 3. Location is: 2049
Iteration number: 4. Location is: 35329
Iteration number: 5. Location is: 28673
Iteration number: 6. Location is: 37121
Iteration number: 7. Location is: 15105
Iteration number: 8. Location is: 60161
Iteration number: 9. Location is: 7425
Iteration number: 10. Location is: 18433
Iteration number: 11. Location is: 6401
Iteration number: 12. Location is: 19713
Iteration number: 13. Location is: 19457
Iteration number: 14. Location is: 25345
Iteration number: 15. Location is: 12545
Iteration number: 16. Location is: 513
Iteration number: 17. Location is: 9473
Iteration number: 18. Location is: 62721
Iteration number: 19. Location is: 41729
Iteration number: 20. Location is: 26113
Iteration number: 21. Location is: 6401
Iteration number: 22. Location is: 58881
Iteration number: 23. Location is: 23809
Iteration number: 24. Location is: 11777
Iteration number: 25. Location is: 40193
Iteration number: 26. Location is: 1025
Iteration number: 27. Location is: 36353
Iteration number: 28. Location is: 33281
Iteration number: 29. Location is: 59649
Iteration number: 30. Location is: 40449
Iteration number: 31. Location is: 3585
Iteration number: 32. Location is: 1537
Iteration number: 33. Location is: 58369
Iteration number: 34. Location is: 52225
Iteration number: 35. Location is: 3841
Iteration number: 36. Location is: 55553
Iteration number: 37. Location is: 2049
Iteration number: 38. Location is: 43009
Iteration number: 39. Location is: 46849
Iteration number: 40. Location is: 24321
Iteration number: 41. Location is: 36609
Iteration number: 42. Location is: 58369
Iteration number: 43. Location is: 63233
Iteration number: 44. Location is: 35585
Iteration number: 45. Location is: 13825
Iteration number: 46. Location is: 64257
Iteration number: 47. Location is: 1537
Iteration number: 48. Location is: 44545
Iteration number: 49. Location is: 8961
Iteration number: 50. Location is: 20737
Iteration number: 51. Location is: 27649
Iteration number: 52. Location is: 58369
Iteration number: 53. Location is: 61185
Iteration number: 54. Location is: 39937
Iteration number: 55. Location is: 5889
Iteration number: 56. Location is: 36353
Iteration number: 57. Location is: 24321
Iteration number: 58. Location is: 32769
Iteration number: 59. Location is: 53249
Iteration number: 60. Location is: 47873
Iteration number: 61. Location is: 51457
Iteration number: 62. Location is: 37121
Iteration number: 63. Location is: 43521
Iteration number: 64. Location is: 25089
Iteration number: 65. Location is: 8961
Iteration number: 66. Location is: 16385
Iteration number: 67. Location is: 9217
Iteration number: 68. Location is: 48897
Iteration number: 69. Location is: 29953
Iteration number: 70. Location is: 22785
Iteration number: 71. Location is: 62721
Iteration number: 72. Location is: 28673
Iteration number: 73. Location is: 28673
Iteration number: 74. Location is: 60673
Iteration number: 75. Location is: 26881
Iteration number: 76. Location is: 57345
Iteration number: 77. Location is: 30209
Iteration number: 78. Location is: 38145
Iteration number: 79. Location is: 46081
Iteration number: 80. Location is: 43777
Iteration number: 81. Location is: 6401
Iteration number: 82. Location is: 4353
Iteration number: 83. Location is: 64001
Iteration number: 84. Location is: 37121
Iteration number: 85. Location is: 51969
Iteration number: 86. Location is: 56577
Iteration number: 87. Location is: 1793
Iteration number: 88. Location is: 45569
Iteration number: 89. Location is: 33537
Iteration number: 90. Location is: 61697
Iteration number: 91. Location is: 48641
Iteration number: 92. Location is: 10497
Iteration number: 93. Location is: 50433
Iteration number: 94. Location is: 28161
Iteration number: 95. Location is: 37633
Iteration number: 96. Location is: 43777
Iteration number: 97. Location is: 46337
Iteration number: 98. Location is: 4353
Iteration number: 99. Location is: 65025
Iteration number: 100. Location is: 51713

Average Location: 33426.9
Samples :100
